deal_id,date,year,deal_type,acquirer_or_investors,target_or_company,value_usd_bn,description,is_megadeal,is_real_headline
D0001,09-03-2009,2009,M&A,Pfizer,Wyeth,68,Pfizer-Wyeth megamerger,1,1
D0041,08-01-2010,2010,Series_B,F-Prime Capital,Oncgen OS,0.403,Series_B 2010,0,0
D0036,12-01-2010,2010,IPO,Public markets,Yothap IO,0.456,IPO 2010,0,0
D0045,16-01-2010,2010,M&A,Roche,Aermod AB,1.158,M&A 2010,0,0
D0053,17-01-2010,2010,Series_B,Polaris Partners,Tavyot OS,0.643,Series_B 2010,0,0
D0046,17-01-2010,2010,Crossover,GV (Google Ventures),Repyot RX,0.348,Crossover 2010,0,0
D0032,18-01-2010,2010,M&A,Sanofi,Quoxen BIO,0.247,M&A 2010,0,0
D0049,23-01-2010,2010,VC,ARCH Venture Partners,Jasquo RX,0.096,VC 2010,0,0
D0028,03-02-2010,2010,M&A,Roche,Repquo BIO,0.046,M&A 2010,0,0
D0042,09-02-2010,2010,IPO,Public markets,Quorep OS,0.232,IPO 2010,0,0
D0040,09-02-2010,2010,VC,Versant Ventures,Neusyn GX,0.078,VC 2010,0,0
D0052,14-02-2010,2010,M&A,Amgen,Probio BIO,0.174,M&A 2010,0,0
D0062,16-02-2010,2010,Series_C,Sofinnova Investments,Quomod OS,0.12,Series_C 2010,0,0
D0029,23-02-2010,2010,Crossover,F-Prime Capital,Reptav X,0.026,Crossover 2010,0,0
D0030,25-02-2010,2010,M&A,GSK,Lumquo BIO,0.506,M&A 2010,0,0
D0058,10-03-2010,2010,IPO,Public markets,Quoxen AB,0.463,IPO 2010,0,0
D0060,06-04-2010,2010,VC,GV (Google Ventures),Repjas GX,1.037,VC 2010,0,0
D0037,08-04-2010,2010,M&A,BMS,Celkym Tx,3.473,M&A 2010,0,0
D0056,14-04-2010,2010,Series_C,Flagship Pioneering,Uniden IO,0.081,Series_C 2010,0,0
D0043,18-04-2010,2010,VC,Atlas Venture,Biotav AB,0.154,VC 2010,0,0
D0050,12-05-2010,2010,VC,Bain Capital Life Sciences,Biozeo IO,0.729,VC 2010,0,0
D0038,19-05-2010,2010,Crossover,OrbiMed,Immpro Tx,0.166,Crossover 2010,0,0
D0047,19-05-2010,2010,M&A,J&J,Neumod Tx,3.141,M&A 2010,0,0
D0031,23-05-2010,2010,Series_B,OrbiMed,Jasjas Therapeutics,0.105,Series_B 2010,0,0
D0054,24-05-2010,2010,VC,Versant Ventures,Modpro OS,0.086,VC 2010,0,0
D0061,01-07-2010,2010,Crossover,Versant Ventures,Jasrep Therapeutics,0.107,Crossover 2010,0,0
D0059,03-07-2010,2010,VC,Atlas Venture,Dentav X,0.106,VC 2010,0,0
D0035,08-07-2010,2010,Series_C,Polaris Partners,Lumtav ON,0.213,Series_C 2010,0,0
D0039,20-07-2010,2010,VC,Sofinnova Investments,Oncvec AB,0.064,VC 2010,0,0
D0044,05-08-2010,2010,M&A,J&J,Tavjas ON,0.358,M&A 2010,0,0
D0055,10-09-2010,2010,VC,ARCH Venture Partners,Xenzeo AB,0.081,VC 2010,0,0
D0034,16-09-2010,2010,M&A,AbbVie,Xentav X,0.764,M&A 2010,0,0
D0051,23-10-2010,2010,Series_B,Bain Capital Life Sciences,Unisyn AB,0.076,Series_B 2010,0,0
D0048,08-11-2010,2010,Series_B,a16z Bio,Xenrep AB,0.018,Series_B 2010,0,0
D0057,12-11-2010,2010,VC,Third Rock Ventures,Denuni Therapeutics,0.375,VC 2010,0,0
D0033,15-11-2010,2010,Series_C,Third Rock Ventures,Lumtav ON,0.036,Series_C 2010,0,0
D0102,02-01-2011,2011,IPO,Public markets,Celimm IO,0.962,IPO 2011,0,0
